Scientific_name,Family,SIXLET,Symbol,Wetland,Pathway,SLA ,SLA2,SLA3,HT_matur,HT_matur2,Seed_weight,Seed_weight2,SSG,d13C,d15N,C,N,C.N,RGR,Salin_meas,Salin_meas2,rt_dpt_max,Anae_tol,Drgt_Tol,Fire_tol,Mois_use,Salin_tol,Shade_tol,Growth_R,Lifespan,Sex_repr,Veg_repr,Spread_rt,Resprout,Actual_bloom,Seed_period
Chamaesyce glyptosperma,Euphorbiaceae,CHAGLY,CHGL13,UPL,,,,,0.009144,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,May  -  Sep,
Chenopodium pratericola,Amaranthaceae,CHEPRA,CHPR5,UPL,,153.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloracantha spinosa,Asteraceae,CHLSPI,CHSP11,FAC,,287.3,,,0.9,0.88392,,0.167,0.234,,,,,,,,,,,,,,,,,,1,1,,2,May - Dec,
Chrysothamnus viscidiflorus,Asteraceae,CHRVIS,CHVI8,UPL,,,,,0.35,,1.21,,,,,,,,,,,2,1,4,3,2,3,1,2,2,1,2,1,1,Jul  -  Sept,
Corispermum americanum,Chenopodiaceae,,COAM8,FACU,,173.54,,,0.29,,,2.193,0.345,,,,,,,,,,,,,,,,,,,,,,,
Conyza canadensis,Asteraceae,CONCAN,COCA5,UPL,C3 Likely,284.17,180.3,270.2702703,0.675,1.524,0.08,0.08,0.311,-28.9092,7.9218,44.1831,1.9735,22.3888,0.26,4,,0.33,2,2,2,3,2,1,3,1,1,2,1,2,Apr - Nov,
Croton californicus,Euphorbiaceae,CROCAL,CRCA5,UPL,,115.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha micrantha,Boraginaceae,CRYMIC,CRMI,UPL,,122.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucurbita foetidissima,Curcurbitaceae,CUCFOE,CUFO,UPL,,,,,0.3048,,38.4,,,,,,,,,,,1.22,1,4,4,2,2,1,3,2,1,1,1,2,Jun - Aug,"Summer, Fall"
Cynodon dactylon,Poaceae,CYNDAC,CYDA,FACU,C4,316.69,445,250,0.5,0.42672,0.2,0.2,0.648,,,,,,,6.9,,1.5,4,3,4,4,3,1,3,,1,1,4,2,Mar - Oct,"Summer, Summer"
Dasyochloa pulchella,Poaceae,DASPUL,DAPU7,UPL,C4,64.63,,,0.095,0.1524,,,,,,,,,,,,0.3,,4,,,,,,,1,1,2,2,Mar  -  Oct,
Datura wrightii,Solanaceae,DATWRI,DAWR2,UPL,C3 Likely,307.1,,,0.65,0.64008,61.1424,37.5,0.128,-29.2192,6.8964,41.5755,6.1605,6.7586,,,,,,,,,,,,,1,2,1,2,May - Oct,
Dicoria canescens,Asteraceae,DICCAN,DICA4,UPL,C3,271.24,,,0.575,0.54864,2.21,2.21,0.298,,,,,,,,,,,,,,,,,1,1,2,1,2,Aug - Mar,
Digitaria californica,Poaceae,DIGCAL,DICA8,UPL,,,,,1.2192,,0.38,,,,,,,,,,,1,1,4,3,2,3,1,3,,1,2,1,2,,Jul - Nov
Digitaria sanguinalis,Poaceae,DIGSAN,DISA,FACU,,70.3,,,0.45,,0.509,,,,,,,,0.14,,,1.8,,,,,,,,1,1,2,1,,Jun  -  Sep,
Distichlis spicata,Poaceae,DISSPI,DISP,FAC,C4,149.73,,,0.25,0.33528,0.452,0.452,0.533,,,,,,,104,,0.61,4,3,4,3,4,1,1,,2,1,3,2,Jun  -  Sep,"Summer, Fall"
Echinochloa crus-galli,Poaceae,ECHCRU,ECCR,FACW,,397,,,0.65,,1.5,,,,,,,,0.29,5.5,,1.06,4,3,2,,3,1,3,1,1,2,1,2,Jun - Oct,
